id_unico,estrato,classe_pre_triagem,titulo,resumo,bloco_a_presente,bloco_b_presente,bloco_c_presente,bloco_d_presente
REG_04054,irrelevante,irrelevante,"Materiality matters: Revealing how inequities are conceived and sustained in the networked water infrastructure - The case of Lilongwe, Malawi","Urban scholars striving for equitable distribution of resources have increasingly started paying attention towards a networked infrastructure, as it materialises inequity and shapes the socio-spatial pattern of a city. The paper advances the socio-technical understanding of networked water infrastructure by proposing a framework of unpacking that analytically disaggregates the network to various elements (pipes, pumps, valves etc.) and facilitates an investigation of multiple materialities of the network at a spatial and a temporal scale. The unpacking explains how differentiated water supply ",nao,nao,nao,nao
REG_00957,irrelevante,irrelevante,Elaboration of ariane 6 operational concept with a concurrent engineering approach,"In December 2014, the ESA Council at Ministers level has decided the launch of the Ariane 6 / VEGA-C program development. The overarching aim of Ariane 6 is to provide guaranteed access to space for Europe at a competitive price without requiring public sector support for exploitation. ESA has the role of Procuring entity and Launch System Architect (LSA). As Launch System Architect, ESA ensures the coherence on the Launcher System and the Launch base in the elaboration of the operational concept. The ambitious High Level Requirements of Ariane 6 Project lead to design the Launch System for ef",nao,nao,nao,nao
REG_03399,irrelevante,irrelevante,Proposed bridge management system and quality control plan in Chile,"Within the national road network, there are approximately 8,800 structures, of which 7,206 are bridges. The most typical pathologies of these bridges are corrosion, scour, seismic damages, among others. Traditionally, bridge maintenance policy in Chile has had a reactive focus rather than a preventive one. Planning of maintenance and preservation activities are mostly aimed at repairing existing defects than at preventing them from occurring. To date, there have been some initiatives within the Ministry of Public Works (MOP) that have sought to establish a Bridge Maintenance Management System.",nao,nao,nao,nao
REG_04418,irrelevante,irrelevante,Improvement of the planning process of flood protection assets by using experiences with operation and maintenance—Hamburg case study,"The effort for maintenance of the flood protection infrastructure is often underestimated when planning and designing new assets. In Germany the consideration of the maintenance strategies, procedures and results is scattered. A systematic analysis of current maintenance practice in different federal states for various types of structures is required to comprehensively understand the process and assess the possible benefits for their design and planning in the future. This paper introduces a methodology for a systematic analysis of maintenance strategies based on a set of criteria grouped arou",nao,nao,nao,nao
REG_04005,irrelevante,irrelevante,Identifying the Impact Factors of BIM Cross-Organizational Collaborative Innovation,"Building information modeling (BIM) has been applied in recent years in the design, construction, operation, and maintenance phases of construction projects. As the technology absorption, technology adoption, and technology diffusion of BIM technology innovation activities require the cooperation of relevant participating units, this paper regards the promotion, and application of BIM technology as a multi-stage (technology adoption, technology absorption, and technology diffusion) and cross-organizational collaborative innovation system to identify the influencing factors of BIM cross-organiz",nao,nao,nao,nao
REG_00610,irrelevante,irrelevante,Reliability Estimation Approach for PMS,"Many complex systems are designed to perform missions that consist of several phases in which the deterioration and configuration of systems may change from phase to phase. These systems are called phased-mission systems (PMSs) [1]. PMSs are formally defined to be the systems subject to multiple, consecutive, non over lapping phases of operation required to finish the final product or service [2]. A typical PMS is the on-board systems for the aided guide of aircraft, whose mission consists of takeoff, ascent, cruise, approach, and landing phases. For mission success, all phases must be complet",nao,nao,nao,nao
REG_09434,irrelevante,irrelevante,Examining the relationship between the unique work experiences and cultural orientations of police officers,"The current study builds upon limited prior research that has assessed the relationship between elements of police culture and a host of unique officer work experiences (e.g. tenure, assigned shift and area, the number of shifts and areas worked, supervisory experience, specialized unit assignment). The sample consists of survey data from over 700 officers from a large police department in the western United States. The results demonstrated that while officers' assigned shift and area had little effect, a number of other experiences were influential. Officers who had worked a greater number of",nao,nao,nao,nao
REG_02882,irrelevante,irrelevante,Reference Architecture for Running Computationally Intensive Physics-Based Digital Twins of Heavy Equipment in a Heterogeneous Execution Environment,"Physics-based digital twins for heavy equipment provide a powerful tool for improving operation and maintenance activities. In contrast to data-driven models, they present more explainable and confident results but require more computational power. Besides the problem of physics-based digital twins creation, there is a task of managing their lifecycle, including their execution, maintenance, storage, and updating. The features distinguishing this kind of digital twins are the mobility of the real counterpart, operation in remote locations, long lifecycle, information sensitivity, and gaps in i",nao,nao,nao,nao
REG_08274,irrelevante,irrelevante,Comprehensive Operation Risk Assessment of a Highway Maintenance Area Based on Reliability,"To study the influence of various working conditions on traffic safety in the maintenance area of a mountain expressway, 675 groups of PTV VISSIM traffic simulation experiments were designed with various traffic organization modes, traffic volumes, traffic compositions, activity area lengths, and speed limit values. The results show that the activity area length of a closed lane, a compressed lane, and a borrowed opposite lane had no marked influence on the traffic conflicts. There was a significant positive correlation between the proportion of trucks and the number of traffic conflicts, and ",nao,nao,nao,nao
REG_01623,irrelevante,irrelevante,Performance evaluation and outlook of utility-scale linear fresnel technology,"As one of the viable concentrating solar power (CSP) technologies, linear Fresnel collectors differ from parabolic troughs by virtue of their low-profile mirror arrays and fixed receiver assemblies. This technology is capable of achieving high concentration ratios and so is applicable to hightemperature solar power plant designs. In addition, its low wind profile and linear nature lead to low system and operation and maintenance (O&M) costs. In this report two linear Fresnel solar plant configurations, namely a direct steam generation (DSG) system and a direct high-temperature molten-salt plan",nao,nao,nao,nao
REG_05751,irrelevante,irrelevante,"A Proposition to Leverage Productization, Modularity, and Sharing in Design to Improve the Lifecycle Performance of Rural Healthcare Delivery System","The traditional Public Healthcare Centers (PHCs) in most developing countries, including India, suffer from inadequate infrastructure, operations, and maintenance. Consequently, rural healthcare delivery suffers, which remains a major concern. To address the shortage of quality healthcare facilities, several countries have resorted to using Mobile Health Units (MHUs) to deliver healthcare services to other remote and rural areas. However, the standard MHUs suffer from their limitations due to inherent inefficiencies resulting from frequent relocations, high operational costs, and makeshift arr",nao,nao,nao,nao
REG_05278,irrelevante,irrelevante,Evaluating the Levelized Cost of Energy (LCOE) of irrigation systems based on solar PV and diesel generator for a green bean crop in Cameroon,"This article offers a fresh perspective on the existing literature in the areas such agriculture, renewable energy, applied technology, economics, and environment (climate change). The objective of this study is to comparatively evaluate the Levelized Cost of Energy (LCOE) of a solar photovoltaic (PV) pumping system and a diesel generator (DG), applied to green bean irrigation in Foumbot (Cameroon), through an ‘energy-agriculture’ nexus approach. Conducted in a context of energy crisis and increasing agricultural challenges, the study is based on real field data, unlike most simulation-based s",nao,nao,nao,nao
REG_08588,irrelevante,irrelevante,Maintenance and Rehabilitation Prioritization of School Buildings Using Knapsack Problem,"&lt;p class=""Abstract""&gt;Many of the public buildings are in conditions of distress due to deterioration and damage and require maintenance and rehabilitation to be able to function appropriately. On the contrary the government funding and budget allocated is limited. A systematic approach to overcome the problem is using setting up priority and optimize the resources allocation. Within a budget ceiling the what buildings components should be prioritized to achieve maximum profit and or surpass threshold is the ultimate goal of the decision maker and stakeholders. In this study, optimizing bu",nao,nao,sim,sim
REG_05322,irrelevante,irrelevante,Disparate power transmission performance reinforces Italian social inequities,"High-voltage electric power transmission systems facilitate the delivery of large shares of electricity to customers and, as such, are key to enabling equitable power service. Here, we investigate the historical performance of the Italian high-voltage power transmission grid delivering power to utility consumers. Using open socio-economic and power system data, we find that socially vulnerable regions experience higher frequency and energy loss than less vulnerable regions. We find that performance disparities stem from infrastructure and terrain characteristics. Components operating at 132 kV",nao,nao,nao,nao
REG_02805,irrelevante,irrelevante,The Research of Low-Code Process Technology Applying on IT Operation and Maintenance System,"In order to improve the development efficiency of workflow and reduce the operation cost in IT operation and maintenance system, the Domain Process Suite (DPS) suitable for this system was explored and researched by combining workflow technology and low-code technology, and it also be applied. Comparing the actual results, this application of low-code process technology in IT operation and maintenance system can greatly improve the development efficiency of system flow. © 2022 IEEE.",nao,nao,nao,nao
REG_02107,irrelevante,irrelevante,Maximum net power output of the recuperative open and direct solar thermal brayton cycle,"The small-scale open and direct solar thermal Brayton cycle with recuperator has several advantages. These include low operation and maintenance costs and high recommendation. The main disadvantages of this cycle are the pressure losses in the recuperator and receiver, turbo-machine efficiencies and recuperator effectiveness, which limit the net power output of such a system. Thermodynamic optimization can be applied to address these disadvantages in order optimize the receiver and recuperator and to maximize the net power output of the system at any steady-state condition. The dynamic traject",nao,nao,nao,nao
REG_06920,irrelevante,irrelevante,The final design of the ITER Interlock Discharge Loop Interface Boxes (DLIB) and its compliance with the IEC 61508 standard,"The Central Interlock System (CIS) is in charge of implementing the ITER Central Investment Protection Functions. A dedicated architecture based on hardwired loops will be responsible for the protection of the superconductive magnet system. These loops act in a transversal way connecting all systems directly involved in the protection of the magnets at the plant level. The base of the coordination between the hardwired loop and the different users is a common interface called DLIB (Discharge Loop Interface Box). The IEC 61508 standard, which defines the ‘Functional Safety’ provisions for I&C s",nao,nao,nao,nao
REG_09371,irrelevante,irrelevante,QoE and QoS Evaluation for Academic Portal in Private Higher Education Institution,"ISO 9126 standard provides very important key indicators as a basis for improving the quality of academic portals. The demands of users' needs for providing good quality academic portal services for students, and the time problems available in system maintenance motivate us to evaluate the main indicators of web performance that affect the performance of academic portals. This study aims to evaluate the performance of academic portals to determine the factors that influence service quality using the ISO 9126 quality model from the characteristics of reliability, efficiency, and usability acade",nao,nao,nao,sim
REG_01986,irrelevante,irrelevante,"Bridge network performance, maintenance and optimisation under uncertainty: Accomplishments and challenges","This article presents a critical review of the state-of-the-art in the field of bridge network performance analysis, reliability assessment, maintenance management and optimisation. Previous accomplishments and results are summarised while stressing the aspects of the analysis of a transportation network, which are more challenging for a structural engineer. For instance, the bridge network is described as a spatially distributed system at a scale that is much larger than any individual structure. This requires a different perspective in the modelling of natural extreme events and involves mod",nao,nao,nao,nao
REG_08115,irrelevante,irrelevante,Risk-based prioritization of maintenance tasks,"This paper presents the research work on how preventive maintenance of a large facility portfolio consisting of various systems and components in numerous facilities can be prioritized based on the mission risks. The research work includes identifying mission critical assets, assessing asset health conditions, building facility hierarchies, aggregating asset risks, and prioritizing PMs. The presented research work is a key part of a decision support system for facility maintenance and mission program planning. It can be used not only to prioritize work based on risk, but also to determine reso",nao,nao,sim,nao
REG_05808,irrelevante,irrelevante,Data-driven Remaining Useful Life Prediction for Optical Modules in Intelligent Computing Networks,"The stability of optical modules significantly impacts overall system performance in intelligent computing networks. Failures in optical modules can lead to a series of issues, diminishing the operational efficiency of intelligent computing centers. Therefore, accurately predicting the remaining useful life of optical modules is crucial for maintaining network stability and minimizing maintenance costs. Currently, traditional physics-based prediction methods rely heavily on precise parameters and are therefore unsuitable for complex intelligent computing network environments. In contrast, exis",nao,nao,nao,nao
REG_08397,irrelevante,irrelevante,Italy Is Fragile: Soil Consumption and Climate Change Combined Effects on Territorial Heritage Maintenance,"The article looks for relations between growth of expanding cities, number of catastrophes and reduction of inhabitants in inland regions. The study explores these aspects through cartographic readings aimed at highlighting the relationship between soil consumption, the abandonment of peripheral areas, and environmental risks due to floods, landslides and earthquakes. The research analyzes the whole of Italy as a case study between 1990 and 2019 to get an accurate interpretation of the relations between these phenomena. The conclusions alert us to the need to redirect Italy’s development and i",nao,nao,nao,nao
REG_05729,irrelevante,irrelevante,Smart Operation and Maintenance Technology for Integrated Energy Systems Based on Digital Twins,"Due to fragmented and delayed operational information in integrated energy systems, maintenance efficiency remains low. This paper proposes a digital twin-based intelligent operation and maintenance technology for integrated energy systems. Sensors are scientifically selected and adapted for different energy subsystems and critical equipment. High-speed, stable data acquisition devices convert and transmit data. Multisource data fusion technology integrates and analyzes heterogeneous data from multiple sources to build a comprehensive and efficient state-sensing network. Based on system data f",nao,nao,nao,nao
REG_09421,irrelevante,irrelevante,Intelligent Cyber-Physical Collaborative Robots Enhanced by AI and VR Technologies for Advanced Smart Learning Factories,"This study investigates the integration of virtual reality (VR) and artificial intelligence (AI) to enhance student training in the use of collaborative robots (cobots). A framework is presented for an immersive VR training system that replicates real-world industrial environments, allowing students to interact with cobots in a controlled and risk-free setting. AI is utilized to model robotic systems, simulate dynamic operational scenarios, and predict potential failures, offering students valuable insights into system performance and maintenance requirements. Several AI-based evaluation metho",nao,nao,sim,nao
REG_08613,irrelevante,irrelevante,Assessment of Disused Public Buildings: Strategies and Tools for Reuse of Healthcare Structures,"The aim of this paper, in line with the 2030 European Agenda and 2021 Italian “Recovery and Resilience Plan” objectives, is to define an evaluation methodology and tool to support public administrations to detect buildings, currently unused or underused, that might be apt for transformation interventions. The focus is on historical Italian healthcare buildings since these show widespread decay and neglect. A five-step methodology has been developed: screening of public assets; classification, evaluation, and identification of buildings, based on the “potential index”; GIS mapping and inventory",nao,nao,nao,sim
REG_06986,irrelevante,irrelevante,A review of digital twin technology for electromechanical products: Evolution focus throughout key lifecycle phases,"The digitalization of electromechanical products creates numerous virtual resources throughout the lifecycle, which require efficient organization and utilization. Digital twin (DT), one of the most promising emerging technologies in Industry 4.0, presents a real-time mapping and deep integration mode for virtual–physical interaction. The derived high-fidelity digital replica demonstrates powerful capabilities of reproducing scenes, interpreting mechanisms, predicting execution, and guiding decisions in electromechanical product design, manufacturing, operation, and maintenance. However, burge",nao,nao,nao,nao
REG_04537,irrelevante,irrelevante,"Techno-economic optimization of a heat-pipe microreactor, Part I: Theory and cost optimization","Microreactors (μR)s, particularly heat-pipe microreactors (HPMRs), are compact, transportable, self-regulated power systems well-suited for access-challenged remote areas where costly fossil fuels dominate. However, they suffer from diseconomies of scale, and their financial viability remains unconvincing. One step in addressing this shortcoming is to design these reactors with comprehensive economic and physics analyses informing early-stage design iteration. In this work, we present a novel unifying geometric design optimization approach that accounts for techno-economic considerations. We s",nao,nao,nao,nao
REG_07764,irrelevante,irrelevante,How can century-old architectural hierarchies for the design of public libraries be re-interpreted and re-used?,"Purpose: The purpose of this paper is to describe a novel approach to inform heritage conservation based on the effective integration of documentation-based research with advanced survey methods for the creation of a sharable historic building information modelling (HBIM) objects database, specifically oriented to the study of Carnegie libraries whose designs in the USA and the UK were somewhat systematised by early principles of standardisation. The aim is to generate an exemplar developing new methodologies for the salvage, re-use and re-invigoration of shared inherited public buildings whic",nao,nao,nao,sim
