chave_bibtex,tipo,autoria,titulo,ano,periodico_ou_instituicao,volume,numero,paginas,doi,url_doi
motuziene_ventilacaoia_2025,article,"Motuzienė, Violeta and Bielskus, Jonas and Džiugaitė-Tumėnienė, Rasa and Raudonis, Vidas",Occupancy-Based Predictive AI-Driven Ventilation Control for Energy Savings in Office Buildings,2025,Sustainability,17,9,4140,10.3390/su17094140,https://doi.org/10.3390/su17094140
nageli_ciclovida_2019,article,"Nägeli, Claudio and Farahani, Abolfazl and Österbring, Magnus and Dalenbäck, Jan-Olof and Wallbaum, Holger",A service-life cycle approach to maintenance and energy retrofit planning for building portfolios,2019,Building and Environment,160,,106212,10.1016/j.buildenv.2019.106212,https://doi.org/10.1016/j.buildenv.2019.106212
naji_campusdelphi_2023,article,"Naji, Khalid K. and Gunduz, Murat and Maki, Omar",Development of a campus facility management operational framework using a modified Delphi method,2023,Journal of Construction Engineering and Management,149,7,04023052,10.1061/JCEMD4.COENG-13154,https://doi.org/10.1061/JCEMD4.COENG-13154
ndukuba_resilienciainstitucional_2025,article,"Ndukuba, Samuel Nnadoziem",Building institutional resilience through sustainable facility management in South African vocational education,2025,Construction Entrepreneurship and Real Property,2,2,110-123,10.56065/pdpyke84,https://doi.org/10.56065/pdpyke84
nielsen_sustentabilidadefm_2016,article,"Nielsen, Susanne Balslev and Sarasoja, Anna-Liisa and Galamba, Kirsten Ramskov",Sustainability in facilities management: an overview of current research,2016,Facilities,34,9-10,535-563,10.1108/F-07-2014-0060,https://doi.org/10.1108/F-07-2014-0060
okoro_sustainablefm_2023,article,"Okoro, Chioma Sylvia",Sustainable facilities management in the built environment: a mixed-method review,2023,Sustainability,15,4,3174,10.3390/su15043174,https://doi.org/10.3390/su15043174
opoku_futurofm_2022,article,"Opoku, Alex and Lee, Jeoung Yul",The future of facilities management: managing facilities for sustainable development,2022,Sustainability,14,3,1705,10.3390/su14031705,https://doi.org/10.3390/su14031705
othman_manutenibilidadeesi_2023,article,"Othman, Ayman Ahmed Ezzat and Kamal, Ahmed",Enhancing building maintainability through early supplier involvement in the design process,2023,"Organization, Technology and Management in Construction",15,,34-49,10.2478/otmcj-2023-0005,https://doi.org/10.2478/otmcj-2023-0005
park_cbrfuzzyahp_2019,article,"Park, Sojin and Kwon, Nahyun and Ahn, Yonghan",Forecasting Repair Schedule for Building Components Based on Case-Based Reasoning and Fuzzy-AHP,2019,Sustainability,11,24,7181,10.3390/su11247181,https://doi.org/10.3390/su11247181
ramantswana_esgfm_2026,article,"Ramantswana, Thabelo and Awuzie, Bankole and Mompati, Lerato and Khafiso, Thabo",Embedding ESG in facility management practices: a South African corporate real estate perspective,2026,International Journal of Building Pathology and Adaptation,44,5,1246-1266,10.1108/IJBPA-07-2025-0169,https://doi.org/10.1108/IJBPA-07-2025-0169
rathbone_deduplicacao_2015,article,"Rathbone, John and Carter, Matt and Hoffmann, Tammy and Glasziou, Paul",Better duplicate detection for systematic reviewers: evaluation of Systematic Review Assistant-Deduplication Module,2015,Systematic Reviews,4,,6,10.1186/2046-4053-4-6,https://doi.org/10.1186/2046-4053-4-6
snyder_revisaometodologia_2019,article,"Snyder, Hannah",Literature review as a research methodology: an overview and guidelines,2019,Journal of Business Research,104,,333-339,10.1016/j.jbusres.2019.07.039,https://doi.org/10.1016/j.jbusres.2019.07.039
suh_demandaenergiaagua_2012,article,"Suh, Dongjun and Chang, Seongju",An Energy and Water Resource Demand Estimation Model for Multi-Family Housing Complexes in Korea,2012,Energies,5,11,4497-4516,10.3390/en5114497,https://doi.org/10.3390/en5114497
talib_hospitalfm_2013,article,"Talib, Yuhainis and Rajagopalan, Priyadarsini and Yang, Jay",Evaluation of building performance for strategic facilities management in healthcare: a case study of a public hospital in Australia,2013,Facilities,31,13/14,681-701,10.1108/F-06-2012-0042,https://doi.org/10.1108/F-06-2012-0042
tan_fluxoinformacao_2018,article,"Tan, Adeline Zhu Teng and Zaman, Atiq Uz and Sutrisna, Monty",Enabling an effective knowledge and information flow between the phases of building construction and facilities management,2018,Facilities,36,3/4,151-170,10.1108/F-03-2016-0028,https://doi.org/10.1108/F-03-2016-0028
whittemore_revisaointegrativa_2005,article,"Whittemore, Robin and Knafl, Kathleen",The integrative review: updated methodology,2005,Journal of Advanced Nursing,52,5,546-553,10.1111/j.1365-2648.2005.03621.x,https://doi.org/10.1111/j.1365-2648.2005.03621.x
wu_gnnvidautil_2025,article,"Wu, Pei-Yu and Mundt-Petersen, S. Olof",Empirical Quantification and Prediction of Building Component Lifespans with Graph Neural Networks,2025,IOP Conference Series: Earth and Environmental Science,1554,,012036,10.1088/1755-1315/1554/1/012036,https://doi.org/10.1088/1755-1315/1554/1/012036
yoon_fuzzyfm_2018,article,"Yoon, Jong Han and Cha, Hee Sung",Optimal FM Strategy for Commercial Office Buildings Using Fuzzy Synthetic Evaluation,2018,Journal of Performance of Constructed Facilities,32,3,04018025,10.1061/(ASCE)CF.1943-5509.0001176,https://doi.org/10.1061/(ASCE)CF.1943-5509.0001176
