id_unico,titulo,ano,lacuna_identificada,lacuna_texto,lacuna_especifica_ies_publicas,rq5_confirmada
REG_03670,Improving maintenance management practices on green building projects,2020,sim,It is also suggested that further research into maintenance of GB should consider issues in terms of concern for lifecycle assessment and sustainability.,nao,sim
REG_03759,Risk management in facility management for data centres: status and deficits,2020,sim,"© 2020, Emerald Publishing Limited.",nao,sim
REG_03763,A review of sustainable facility management research,2020,sim,"This paper presents a review of SFM publications, developing a framework for identifying areas of concern regarding SFM systems, as well as identifying and studying research gaps and limitations in the existing body of knowledge.",nao,sim
REG_03843,Application of fuzzy topsis for selecting most sustainable building wall material,2020,nao,nao_identificada_no_resumo,nao,nao
REG_03844,Application of fuzzy topsis for selecting most sustainable building wall material,2020,nao,nao_identificada_no_resumo,nao,nao
REG_04015,Energy-efficient retrofitting of multi-storey residential buildings,2020,sim,"Research limitations/implications: Future studies may take a similar approach of this study to develop retrofitting frameworks for other types of buildings, and further research paper can be extended to study retrofitting for buildings in a district or a regio",nao,sim
REG_04052,Forecasting repair schedule for building components based on case-based reasoning and fuzzy-AHP,2019,sim,"However, existing approaches to maintenance are limited in terms of estimating required repairs.",nao,sim
REG_04120,Proposed research methodology for establishing the critical success factors for maintenance management of hospital buildings,2019,sim,"There is an increasing recognition amongst healthcare organisations on the need to improve building performance in order to increase healthcare delivery, profits, and patients' recovery and to reduce penalties.",nao,sim
REG_04122,Green maintainability assessment of high-rise vertical greenery systems,2019,sim,VGS) have grown in complexity which poses maintainability challenges.,nao,sim
REG_04126,Early decision-making for school building renovation,2019,sim,Originality/value: This study illustrates the comprehensive analysis needed when renovating a building and on difficulties of addressing and evaluating all the viable aspects of concern.,sim,sim
REG_04163,LCC estimation model: A construction material perspective,2019,nao,nao_identificada_no_resumo,nao,nao
REG_04203,An Integrated Computerised Maintenance Management System (I-CMMS) for IBS building maintenance,2019,sim,"© 2018, Emerald Publishing Limited.",nao,sim
REG_04225,Determining a conceptual framework for safe and sustainable health-care waste management (SSHCWM) implementation in health-care facilities,2019,sim,Design/methodology/approach: This paper used a review of existing literature in relation to health-care waste management in the context of sustainable facilities management and facilities management performance and forms a basis for further research.,nao,sim
REG_04305,Examining sustainability indicators of space management in elderly Facilities—a case study in China,2019,sim,"An effective method to resolve these problems is sustainable space management (SSM), which is a particularly good fit for nonprofit elderly facilities with limited capital budgets.",nao,sim
REG_04552,Contractors allocation for public building maintenance: a sustainable approach aligned with SDGs using AHP-TOPSIS and bi-objective optimization,2026,nao,nao_identificada_no_resumo,nao,nao
REG_04569,Analysis of sustainable facility management performance in university campuses based on user satisfaction indicators: the case of Ankara University Besevler Campus,2026,sim,"By addressing the underexplored relationship between social sustainability and user experience, the research seeks to provide evidence-based insights for sustainable campus facility management.",sim,sim
REG_04572,"Coding and Relationships Between Construction and Maintenance Work Units and Their Life Cycle: A Study of the Economic, Environmental and Social Sustainability of Housing in Andalusia",2026,nao,nao_identificada_no_resumo,nao,nao
REG_04575,From Construction Innovation to Operational Reality: Barriers to Technology Diffusion in the Operations and Maintenance of Public Hospitals in South Africa,2026,sim,"Key barriers include unclear institutional roles, inadequate handover processes, limited technical capacity, and the absence of strategic leadership to drive innovation.",sim,sim
REG_04749,Considering Carbon Emissions and Energy Consumption Costs in Project Pricing: A Case Study of a Commercial Building in Shanghai,2026,sim,"However, the current cost management system still lacks effective consideration of carbon emissions during the operation and maintenance stage.",nao,sim
REG_04758,Sustainable facilities management: a sociotechnical system perspective and a review of the literature,2026,sim,"In a second step, the framework is combined with a systematic literature review of studies published between 2000 and 2023 to examine pressures applied to FM firms, explore responses and management processes and the evolution of FM practices, and identify rese",nao,sim
REG_04759,Factors influencing IoT adoption for sustainable facilities management in Saudi Arabia: a stakeholder assessment,2026,sim,"Beyond academic contributions, it provides practical insights for industry professionals, fostering a culture of knowledge-sharing and guiding future research in this field.",nao,sim
REG_04813,"Improving the performance of green office buildings in mainland China through facility management under the ""dual carbon"" goals",2026,sim,"Addressing a significant research gap, it examines the operational phase of green buildings, often neglected in traditional design-focused evaluations.",nao,sim
REG_04824,Framework for Environmental Life Cycle Assessment of Operation Strategies for Existing Building Envelopes,2026,sim,"In a recent study, Danish facility management organisations highlighted a knowledge gap regarding environmental impact of operational activities, particularly maintenance.",nao,sim
REG_04939,Unraveling the impact of machine learning on the AEC sector: academia and industry perspectives,2026,sim,"However, industry devotes more effort to sustainability, cost and scheduling solutions, whereas academia lags in these areas and often relies on limited or synthetic datasets.",nao,sim
REG_04953,Spatial Intelligence for Efficient High-Rise Building Maintenance and Repair,2026,nao,nao_identificada_no_resumo,nao,nao
REG_05142,Quantifying BIM investment value: a systematic review,2025,sim,Two major research gaps are identified: the absence of a standardized BIM ROI method and insufficient exploration of intangible benefits.,nao,sim
REG_05161,Post-Construction Constructability Assessment and Service Quality in Higher Education Infrastructure: Evidence from a Peruvian University Campus,2025,sim,"The instruments were validated through expert judgment, while data were analyzed using descriptive statistics, Spearman’s correlations, and non-parametric bootstrap procedures to address the limitations of a small sample size (N = 15).",sim,sim
REG_05283,An in-depth analysis of facility management approaches in Nigeria's ailing healthcare sector,2025,sim,"Purpose This study aims to examine facility management practices in the Nigerian healthcare sector, exploring approaches and identifying challenges facing effective healthcare facilities management.",nao,sim
REG_05338,Developing Performance Measurement Framework for Sustainable Facility Management (SFM) in Office Buildings Using Bayesian Best Worst Method,2025,sim,The systematic literature review revealed a limited number of studies developing a performance measurement framework for SFM in office buildings and/or other building types in the literature.,nao,sim
REG_05371,Artificial intelligence in healthcare facilities asset information management: mixed review,2025,sim,"The findings reveal a significant gap between research findings and practical implementation, highlighting the need for further integration and real-world usage of AI-powered solutions in healthcare facilities settings.",nao,sim
REG_05379,Offshore Wind Turbine Key Components’ Life Cycle Cost Analysis (LCCA): Specification Options in Western Australia,2025,nao,nao_identificada_no_resumo,nao,nao
REG_05404,Strategic planning of sustainable maintenance in heritage school buildings: Malaysia perspectives,2025,sim,"© 2022, Emerald Publishing Limited.",sim,sim
REG_05430,Development of an ontology-based asset information model for predictive maintenance in building facilities,2025,sim,"Findings: The research findings indicate that while the development of ontology faced challenges in defining missing entities and relations in the context of predictive maintenance, insights gained from the interviews enabled the establishment of a comprehensi",nao,sim
REG_05449,Enhancing asset management: Integrating digital twins for continuous permitting and compliance - A systematic literature review,2025,sim,Future research should focus on developing comprehensive strategies to address these challenges and leverage these advancements for enhanced knowledge and asset management.,nao,sim
REG_05452,Optimization of an integrated hybrid commercial building with building information modelling,2025,nao,nao_identificada_no_resumo,nao,nao
REG_05478,The development of prefabricated buildings and intelligent construction based on digital twins,2025,nao,nao_identificada_no_resumo,nao,nao
REG_05495,Research on Real-Time Control Strategy for HVAC Systems in University Libraries,2025,nao,nao_identificada_no_resumo,nao,nao
REG_05517,Life-cycle cost assessment of conventional and self-centering steel frames in seismic zones: An extra focus on environmental impacts,2025,nao,nao_identificada_no_resumo,nao,nao
REG_05558,Applications of Digital Technologies in Promoting Sustainable Construction Practices: A Literature Review,2025,sim,"Finally, the potential future research trends in this field were proposed: (1) strengthening research on the application of more digital technologies; (2) expanding the use of digital technologies in the Operation and Maintenance (O & M) and demolition phases;",nao,sim
REG_05559,Exploiting digital twins for occupancy and energy optimisation for office buildings,2025,sim,Future research should address these challenges and explore the scalability of this promising framework.,nao,sim
REG_05613,Potential for Integrating Post-Construction Facility Management with BIM in Steel Building Projects in the Middle East,2025,sim,"Through a comprehensive survey of professionals involved in the construction and facility management sectors, the study aims to gauge the current practices, challenges, and anticipated benefits of this integration.",nao,sim
REG_05632,Integration of technology in decision-making in university facilities management: a literature review,2025,sim,It addresses a critical research gap by focusing on the integration of technology in FM.,sim,sim
REG_05645,Digital Twins for Sustainable Hospitality Facilities Management: A Review and Empirical Investigation,2025,sim,This study aims to investigate the role of DT in assisting hotel FM to address sustainability challenges.,nao,sim
REG_05650,Barriers to Digital Transformation in Facilities Management: Insights from a Developing Country,2025,sim,"However, its adoption, particularly in developing countries, remains slow due to persistent barriers.",nao,sim
REG_05740,The driving mechanism for promoting the transition to sustainable operation and maintenance management of major infrastructure projects: a SLR-ISM-MICMAC analysis,2025,sim,"To address this research gap, this study explores its driving mechanism based on an integrated methodological framework combining systematic literature review (SLR), interpretive structural modeling (ISM), and cross-impact matrix multiplication applied to clas",nao,sim
REG_05812,Research on Circular Design Criteria for Historic Building Protection,2025,nao,nao_identificada_no_resumo,nao,nao
REG_05816,Optimizing Fire Safety Compliance: Rule-Based Checking of As-Is BIM Models for Workplace Regulations,2025,sim,"© The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.",nao,sim
REG_05872,Future directions and research gaps in city information modelling (CIM),2025,sim,"Design/methodology/approach: The methodology combined bibliometric analysis and systematic review to critically examine the research gaps and future directions in CIM utilising the Web of Science (WoS), Scopus and Emerald Insight databases.",nao,sim
REG_05925,Appraising sustainable and resilient physical infrastructure facilities in higher education institutions: the role of smart maintenance management,2025,sim,"The absence of regulation/ standards, maintenance expertise in smart infrastructure facilities, low maintenance budget, the fear of skill- biased technological change, the perceived maintenance cost and occupant behaviour/resistance to change emerged as the ma",sim,sim
REG_06111,Next-Generation Building Condition Assessment: BIM and Neural Network Integration,2024,sim,Our research addresses these limitations by integrating BIM and neural networks.,nao,sim
REG_06159,Developing a framework for building maintenance: a case study of Malaysia's low-cost housing via soft system methodology,2024,sim,Future research is needed to consider more extensive coverage and validate the developed framework from this study via a quantitative research design.,nao,sim
REG_06247,BIM-IoT-FM integration: strategy for implementation of sustainable water management in buildings,2024,sim,"By BIM–IoT integration, the consumption parameters and ranges for 17 categories of activities were determined to contribute to fulfill the research gap for the commercial buildings.",nao,sim
REG_06255,Research and application of carbon emission calculation methods for the whole life cycle of assembled steel structure office buildings,2024,sim,It provides a reference for future research on the prediction of carbon emissions for similar office buildings and advancing carbon reduction initiatives in the construction industry.,nao,sim
REG_06405,Towards achieving a net zero carbon building: A review of key stakeholders and their roles in net zero carbon building whole life cycle,2024,sim,"In addition, the study serves as a basis for further research on stakeholders' analysis in net zero carbon building.",nao,sim
REG_06494,The applications of building information modeling in the life-cycle of green buildings: a comprehensive review,2024,sim,"Therefore, this paper reviewed 168 previous studies from the past ten years, conducted an in-depth review and comparison, and provides suggestions for possible future research direction for BIM research.",nao,sim
REG_06525,Application of Circular Economy in Facility Maintenance and Management: Moving Towards a Low Carbon Future,2024,sim,"© The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.",nao,sim
REG_06548,Improving Facility Management Performance in Public Higher Education Institution Buildings in Nigeria,2024,nao,nao_identificada_no_resumo,nao,nao
REG_06585,Conceptual framework of sustainable interior design (SID) criteria and components to hotel's operational performance effectiveness,2024,nao,nao_identificada_no_resumo,nao,nao
REG_06681,3D spatio-temporal post-occupational maintenance management of high-rise residential building: a case study,2024,nao,nao_identificada_no_resumo,nao,nao
REG_06712,INTEGRATING BIM INTO BUILT ASSET MANAGEMENT: A PATHWAY TO ACHIEVE SOCIAL SUSTAINABILITY,2024,sim,"The bibliometric analysis and systematic review underscore the need for further research, mapping out existing gaps and suggesting future directions for BIM's potential to enhance social sustainability in asset management.",nao,sim
REG_06929,Investigation of system optimization and control logic on a solar geothermal hybrid heat pump system based on integral effect test data,2023,sim,"However, the practical challenges and limitations have resulted in a lack of extensive field trials due to the time and financial constraints associated with conducting field trials.",nao,sim
REG_06996,A review and bibliometric analysis of utilizing building information modeling (BIM) on effective operation and maintenance (O&M),2023,sim,Further research is needed to balance the utilization of BIM for facility management with its application for asset management.,nao,sim
REG_07000,Using BIM to improve communication in sustainable building renovation,2023,nao,nao_identificada_no_resumo,nao,nao
REG_07043,Net-Zero Energy Consumption Building in China: An Overview of Building-Integrated Photovoltaic Case and Initiative toward Sustainable Future Development,2023,sim,"The purpose of this study is to review the basic status of the development of building-integrated photovoltaic (BIPV) technologies in China, to identify and analyze the existing problems and challenges, and to propose optimization strategies and methods so as",nao,sim
REG_07061,Development of a Campus Facility Management Operational Framework Using a Modified Delphi Method,2023,sim,This research adds to the body of knowledge by presenting a systematic operational framework for campus facility management that identifies the underlying factors influencing performance and fills the gaps left by previous studies.,sim,sim
REG_07171,Global trends of the research on COVID-19 risks effect in sustainable facility management fields: a bibliometric analysis,2023,nao,nao_identificada_no_resumo,nao,nao
REG_07192,Digital Twin framework for automated fault source detection and prediction for comfort performance evaluation of existing non-residential Norwegian buildings,2023,nao,nao_identificada_no_resumo,nao,nao
REG_07225,An Embedded Joint Management Body (JMB) in a Comprehensive Life Cycle Cost Analysis Planning Mode in Sustainable Building Project,2023,sim,This study aims to analyze the cost of involving JMB in the design stage to overcome this design gap.,nao,sim
REG_07228,Framework to evaluate quality performance of green building delivery: construction and operational stage,2023,sim,Green buildings exhibit underperformance caused by inadequate construction practices and a lack of understanding of the operations and maintenance practices.,nao,sim
REG_07235,EXPERT VERIFICATION OF INFORMATION REQUIREMENTS FOR INTEGRATING BUILDING INFORMATION MODELLING WITH OPERATION AND MAINTENANCE,2023,sim,"Despite the successful project delivery for BIM in facilities management, limited investigations have focused on BIM and Operation and Maintenance (O&M) integration.",nao,sim
REG_07476,Enhancing building maintainability through early supplier involvement in the design process,2023,sim,"Consequently, lack of considering maintainability aspects during the design process results in increasing maintenance and operation costs as well as reducing building performance.",nao,sim
REG_08015,CIB - UTILITY BASED SYSTEMS FRAMEWORK FOR EXISTING RESIDENTIAL BUILDING,2022,sim,"Published by Informa UK Limited, trading as Taylor & Francis Group on behalf of the Architectural Institute of Japan, Architectural Institute of Korea and Architectural Society of China.",nao,sim
REG_08052,Stochastic maintenance models for ceramic claddings,2020,sim,"© 2019, © 2019 Informa UK Limited, trading as Taylor & Francis Group.",nao,sim
REG_08528,Building Institutional Resilience Through Sustainable Facility Management in South African Vocational Education,2025,nao,nao_identificada_no_resumo,nao,nao
REG_09113,"Application of Multicriteria Decision-Making Methods to Determine the Appropriate Policy for Maintenance of Buildings in Karaj City, Iran",2023,nao,nao_identificada_no_resumo,nao,nao
REG_09127,Key Performance Indicators for Building Assessment. A case study on an R/C Building in Greece,2023,nao,nao_identificada_no_resumo,nao,nao
REG_09169,"Prioritizing Heritage Building Maintenance: A Fuzzy Model Approach for Arc De Bera, Spain",2023,sim,"The ""Art-Risk 3.0"" research project has developed a new tool to address the challenges faced in maintaining and preserving cultural heritage.",nao,sim
REG_09290,Stakeholders' perception of critical success factors for sustainable facilities management practice in universities in sub-Saharan Africa,2017,nao,nao_identificada_no_resumo,nao,nao
REG_09503,Developing post occupancy evaluation sustainability assessment framework for retrofitting commercial office buildings: A proposal,2012,nao,nao_identificada_no_resumo,nao,nao
