doi,title,abstract,author,published,container_title,type,subject,is_referenced_by_count,url,publisher,language,database,string_id,query_bibliographic
10.70593/978-93-7185-555-6_1,Combinational Circuits as Basic Building Blocks for AI,,Gurpreet Singh,2025-12-29,Machine Learning and Artificial Intelligence in Today's Perspective,book-chapter,,0,https://doi.org/10.70593/978-93-7185-555-6_1,Deep Science Publishing,,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
10.1007/978-3-031-12282-8_2,Essential Concepts in Artificial Intelligence and Machine Learning,,Ameet V. Joshi,2023,Machine Learning and Artificial Intelligence,book-chapter,,1,https://doi.org/10.1007/978-3-031-12282-8_2,Springer International Publishing,en,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
10.1007/978-3-030-26622-6_2,Essential Concepts in Artificial Intelligence and Machine Learning,,Ameet V Joshi,2020,Machine Learning and Artificial Intelligence,book-chapter,,6,https://doi.org/10.1007/978-3-030-26622-6_2,Springer International Publishing,en,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
10.1002/9781119824961.ch4,"Explaining Artificial Intelligence, Machine Learning, and Deep Learning Models",,,2022-9-21,Risk Modeling,other,,1,https://doi.org/10.1002/9781119824961.ch4,Wiley,en,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
10.55123/jomlai.v1i1,,,,2022-3-18,JOMLAI: Journal of Machine Learning and Artificial Intelligence,journal-issue,,0,https://doi.org/10.55123/jomlai.v1i1,Yayasan Literasi Sains Indonesia,,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
10.1093/hesc/9780198794141.003.0007,Artificial intelligence and machine learning,"<p>This chapter addresses the topics of artificial intelligence and machine learning. The idea of artificial intelligence is that a computer is doing something that, at least casually, can be regarded as ‘thinking’. However, the sophistication of the program might be a translation of some aspect of the intelligence of the programmer. Machine learning goes beyond this; for machine learning, the program has to take the initiative to improve the performance of the algorithm. The chapter then looks at the difference between classification and clustering, as well as between supervised learning and unsupervised learning. The Receiver Operating Characteristic (ROC) curves reveal how the quality of a prediction depends on the choice of separation threshold. The chapter also considers the structure and activity of artificial neurons, and how they can be combined into artificial neural networks; decision trees; and support vector machines.</p>",Arthur M. Lesk,2019-5-21,Introduction to Bioinformatics,book-chapter,,1,https://doi.org/10.1093/hesc/9780198794141.003.0007,Oxford University Press,en,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
10.1016/j.aiig.2025.100155,Machine-learning seismic damage assessment model for building structures,,Fatma Zohra Belhadj; Ahmed Fouad Belhadj; Mohamed Chabaat,2025-12,Artificial Intelligence in Geosciences,journal-article,,1,https://doi.org/10.1016/j.aiig.2025.100155,Elsevier BV,en,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
10.1201/9781003242581-1,Artificial Intelligence and Machine Learning,,Shahab D. Mohaghegh,2022-9-2,Smart Proxy Modeling,book-chapter,,1,https://doi.org/10.1201/9781003242581-1,CRC Press,en,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
10.54364/aaiml.2022.1136,Circuit Design for Predictive Maintenance,"<jats:p>Industry 4.0 has become a driver for the entire manufacturing industry. Smart systems have enabled 30% productivity increases and predictive maintenance has been demonstrated to provide a 50% reduction in machine downtime. So far, the solution has been based on data analytics which has resulted in a proliferation of sensing technologies and infrastructure for data acquisition, transmission and processing. At the core of factory operation and automation are circuits that control and power factory equipment, innovative circuit design has the potential to address many system integration challenges. We present a new circuit design approach based on circuit level artificial intelligence solutions, integrated within control and calibration functional blocks during circuit design, improving the predictability and adaptability of each component for predictive maintenance. This approach is envisioned to encourage the development of new EDA tools such as automatic digital shadow generation and product lifecycle models, that will help identification of circuit parameters that adequately define the operating conditions for dynamic prediction and fault detection. Integration of a supplementary artificial intelligence block within the control loop is considered for capturing nonlinearities and gain/bandwidth constraints of the main controller and identifying changes in the operating conditions beyond the response of the controller. System integration topics are discussed regarding integration within OPC Unified Architecture and predictive maintenance interfaces,providing real-time updates to the digital shadow that help maintain an accurate, virtual replica model of the physical system.</jats:p>",Taner Dosluoglu; Martin MacDonald,2022,Advances in Artificial Intelligence and Machine Learning,journal-article,,5,https://doi.org/10.54364/aaiml.2022.1136,Advances in Artificial Intelligence and Machine Learning,,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
10.63282/3050-9262.ijaidsml-v1i2p103,Building MLOps Pipelines in Fintech: Keeping Up with Continuous Machine Learning,,Jayaram Immaneni,2020,"International Journal of Artificial Intelligence, Data Science, and Machine Learning",journal-article,,0,https://doi.org/10.63282/3050-9262.ijaidsml-v1i2p103,ScienceTech Xplore,,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
10.1002/9781119824961.ch3,"Artificial Intelligence, Machine Learning, and Deep Learning Models for Risk Management",,,2022-9-21,Risk Modeling,other,,0,https://doi.org/10.1002/9781119824961.ch3,Wiley,en,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
10.1007/s44163-026-01234-y,Application of multimodal machine learning in building ecological assessment,,Manshu Huang,2026-4-27,Discover Artificial Intelligence,journal-article,,0,https://doi.org/10.1007/s44163-026-01234-y,Springer Science and Business Media LLC,en,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
10.1007/s10462-025-11226-6,Fast machine learning for building management systems,"<jats:title>Abstract</jats:title>
          <jats:p>Building management systems (BMSs) are increasingly integrating advanced machine learning (ML) and artificial intelligence (AI) capabilities to enhance operational efficiency and responsiveness. The transformation of BMSs involves a wide range of environmental, behavioural, economical and technical factors as well as optimum performance considerations in order to reach energy efficiency and for long term sustainability. Existing BMSs can only provide local adaptability by creating and managing information for a built asset lacking the capability to learn and adapt based on performance objectives. This research provides a comprehensive review of ML techniques in BMSs, with particular emphasis and demonstration of fast machine learning (FastML) techniques in a real-case study application. The study reviews optimization methods for ML algorithms, focusing on Long Short-Term Memory (LSTM) networks for energy consumption forecasting and exploring solutions that leverage hardware accelerators for low-latency and high-throughput processing. The High-Level Synthesis for Machine Learning (HLS4ML) framework facilitates deployment of fast machine learning models with BMSs, achieving substantial gains in hardware efficiency and inference speed in resource-constrained environments. Findings reveal that HLS4ML-optimized models maintain accuracy while offering computational efficiency through techniques like pruning and quantization, supporting real-time BMS applications. This research significantly contributes to the development of intelligent BMSs by integrating ML algorithms with advanced hardware solutions, ultimately improving energy management, occupant comfort, and safety in modern buildings.</jats:p>",Mohammed Mshragi; Ioan Petri,2025-4-17,Artificial Intelligence Review,journal-article,,21,https://doi.org/10.1007/s10462-025-11226-6,Springer Science and Business Media LLC,en,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
10.2174/9798898810870125010008,"Fundamentals of Predictive Maintenance Using Machine Learning, Deep Learning, and IoT in Industry 4.0","<jats:p>The term “digital age” refers to the 21st century, characterized by the widespread use of digital platforms for data and information sharing. This era is marked by critical technologies such as sensor networks, Machine Learning (ML), Deep Learning (DL), Predictive Maintenance (PDM), and the Internet of Things (IoT), which are pivotal in driving the Industry 4.0 revolution. Today, industrial operations encompass pre- and post-production, quality control, and supply chain management, all fully automated. Physical tasks are handled by intelligent robots equipped with machine learning capabilities, freeing humans to focus on cognitive activities. These robots perform diverse tasks while real-time sensor networks collect environmental data, ensuring efficient and adaptable industrial operations 3.5. This study aims to highlight the pivotal roles of ML, DL, and IoT within the framework of Industry 4.0, leveraging historical performance data for real-time decision-making. The chapter critically evaluates a multitude of tools, models, protocols, and cutting-edge technologies deployed in Industry 4.0 settings. It identifies areas requiring further investigation and provides recommendations to steer future advancements in Industry 4.0.</jats:p>",Sunakshi Mehra; Varun Kumar Singh; Ashif Ali,2025-11-3,Data Analytics and Artificial Intelligence for Predictive Maintenance in Industry 4.0,book-chapter,,0,https://doi.org/10.2174/9798898810870125010008,BENTHAM SCIENCE PUBLISHERS,,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
10.51219/jaimld/vibhu-sharma/43,Building Solar Shading,,Vibhu Sharma,2022-9-25,"Journal of Artificial Intelligence, Machine Learning and Data Science",journal-article,,0,https://doi.org/10.51219/jaimld/vibhu-sharma/43,United Research Forum,,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
10.1002/9781118577691.ch3,Artificial Intelligence Models,,Frédéric Magoulès; Hai‐Xiang Zhao,2016-2-26,Data Mining and Machine Learning in Building Energy Analysis,other,,1,https://doi.org/10.1002/9781118577691.ch3,Wiley,en,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
10.1201/9781351130165-2,"Machine Learning, Deep Learning, and Artificial Intelligence",,Michael Lanzetta,2018-9-25,Artificial Intelligence for Autonomous Networks,book-chapter,,4,https://doi.org/10.1201/9781351130165-2,Chapman and Hall/CRC,en,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
10.1201/9780367821654-1,Introduction to Artificial Intelligence and Machine Learning,,Frank M. Groom,2019-11-22,Artificial Intelligence and Machine Learning for Business for Non-Engineers,book-chapter,,1,https://doi.org/10.1201/9780367821654-1,CRC Press,en,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
10.1002/9781119782605.ch1,Artificial Intelligence and Machine Learning in Forecasting,,,2021-5-11,Business Forecasting,other,,1,https://doi.org/10.1002/9781119782605.ch1,Wiley,en,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
10.55529/jaimlnn.61.100.111,QEML-Net: Quantum-enhanced machine learning for predictive maintenance in industrial IoT environments using hybrid classical-quantum neural networks,"<jats:p>The economic value of predictive maintenance (PdM) for industrial IoT machinery is undeniable, as unplanned equipment downtime is estimated to cost industries USD 50 billion a year worldwide. Deep learning techniques have achieved good fault classification results on benchmark datasets, but they are not robust enough to cope with noise in industrial environments, are computationally intensive for use at the edge, and are unable to make good use of the capabilities of quantum computing. In this paper, a new hybrid network, called QEML-Net (Quantum-Enhanced Machine Learning Network), is proposed to combine the ResNet-50 deep residual network with Convolutional Block Attention Modules (CBAM), variational quantum feature enhancement, and a compound hybrid loss function, for efficient fault diagnosis. The framework features a 6-layer, 4-qubit Parameterized Quantum Circuit (PQC) with angle encoding and linear CNOT entanglement that is implemented using PennyLane. Experiments were performed on six harmonized datasets from public PdM which have 57164 samples across eight unified fault categories. The framework was validated with the help of Bayesian hyperparameter optimization, 5-fold stratified cross-validation, ablation studies, and statistical testing. By optimizing the deployment on the edges, QEML-Net got 97.3% accuracy, 96.9% macro-F1 score, AUC of 0.988, and real-time inference performance with 19ms latency and 52FPS throughput on the benchmark dataset. The statistical analysis revealed significant improvement when compared to other methods (p &lt; 0.001). Even when evaluated cross-dataset without fine-tuning, good generalization was achieved with an accuracy of 92.8–94.6%. The results reveal the advantages of combining the quantum variational circuits with deep learning to enhance the classification accuracy, interpretability, and deployment efficiency for the fault diagnosis of industrial IoT.</jats:p>",Dr. Inam Ullah Khan,2026-4-28,Journal of Artificial Intelligence Machine Learning and Neural Network,journal-article,,0,https://doi.org/10.55529/jaimlnn.61.100.111,HM Publishers,,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
10.1007/978-3-032-24858-9_1,Foundations of Artificial Intelligence and Machine Learning,,Deepti Chopra; Roopal Khurana,2026,Artificial Intelligence and Machine Learning,book-chapter,,0,https://doi.org/10.1007/978-3-032-24858-9_1,Springer Nature Switzerland,en,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
10.4018/979-8-3373-9968-3.ch001,Artificial Intelligence and Machine Learning for Intelligent Cyber Defense,"<jats:p>The instant growth of digital technology has greatly augmented the size, depth, and complexity of cyber threats. Traditional rule-based and signature -based security methods are no more enough. This chapter discovers the game-changing role of AI and ML in constructing smart, responsive, and practical cyber defence systems. It tells you what the core concepts are behind AI and ML, and how they can be put to work finding threats, identifying anomalous behaviour, and tagging malware. It cites real-world products like, Darktrace, IBM Watson for Cybersecurity and Microsoft Defender to give examples. It also addresses the issues with using AI and ML for cybersecurity. The chapter also describes upcoming developments such as federated learning, AI-backed Security Operations Centres, quantum-secured AI, cognitive security. Ultimately, it says that AI and ML are not substitutes for human expertise but should serve as collaborators in building resilient and flexible cyber environments.</jats:p>",Kavita Lal,2026-3-6,Building Resilient Digital Ecosystems,book-chapter,,0,https://doi.org/10.4018/979-8-3373-9968-3.ch001,IGI Global Scientific Publishing,ng,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
10.51219/jaimld/daniel-raj-jeevaguntala/521,"Predictive Maintenance Testing in Machine Learning: Combining Manual Insights, Java Programming and Data Science for Automation",,Daniel Raj Jeevaguntala,2025-3-6,"Journal of Artificial Intelligence, Machine Learning and Data Science",journal-article,,0,https://doi.org/10.51219/jaimld/daniel-raj-jeevaguntala/521,United Research Forum,,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
10.1016/j.engappai.2024.108340,A conceptual framework for machine learning algorithm selection for predictive maintenance,,Simone Arena; Eleonora Florian; Fabio Sgarbossa; Endre Sølvsberg; Ilenia Zennaro,2024-7,Engineering Applications of Artificial Intelligence,journal-article,,54,https://doi.org/10.1016/j.engappai.2024.108340,Elsevier BV,en,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
10.56472/iccsaiml25-123,Deploying Lightweight AI models for Predictive Maintenance in Industrial IoT environments,,Akshat Bhutiani,2025-5-18,"International Conference on Computer Science, Artificial Intelligence, Machine Learning [ICCSAIML'25]",proceedings-article,,0,https://doi.org/10.56472/iccsaiml25-123,ScienceTech Xplore,,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
10.63282/3050-9262.ijaidsml-v6i3p105,Building AI Agents and Orchestration using UiPath Maestro,,,2025,"International Journal of Artificial Intelligence, Data Science, and Machine Learning",journal-article,,0,https://doi.org/10.63282/3050-9262.ijaidsml-v6i3p105,ScienceTech Xplore,,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
10.1201/9781003055129-3,Machine Learning and Artificial Intelligence in Healthcare,,Jeelani Ahmed; Muqeem Ahmed,2022-4-4,Empowering Artificial Intelligence Through Machine Learning,book-chapter,,1,https://doi.org/10.1201/9781003055129-3,Apple Academic Press,en,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
10.4135/9789354791796.n4,How Artificial Intelligence and Machine Learning Work,,,2020,AI and Machine Learning,book-chapter,,0,https://doi.org/10.4135/9789354791796.n4,SAGE Publications Pvt. Ltd,,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
10.1007/978-981-16-0811-7_11,Correction to: Artificial Intelligence and Machine Learning in Healthcare,,Ankur Saxena; Shivani Chandra,2021,Artificial Intelligence and Machine Learning in Healthcare,book-chapter,,0,https://doi.org/10.1007/978-981-16-0811-7_11,Springer Singapore,en,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
10.54941/ahfe1007320,Review of Supervised Machine learning cost estimation techniques for building projects,"<jats:p>Cost is considered a vital parameter in determining the success of a construction project. Project costs control and monitoring prevent budget overruns and safeguard expected profits, regardless of the project's size, scope, or complexity. Traditional methods for estimating project costs are facing growing challenges as demand for more accurate, adaptable strategies that respond to evolving market dynamics and technological progress increases. This study offers insight into supervised ML-based cost estimation techniques, highlighting the models employed, the geographical area of the studies, sample sizes, input and output variables, and property types. The findings indicate that there has been some progress in applying supervised ML for cost estimation. Asia accounts for the most studies (65.96%), followed by Africa (10.64%) and Europe (14.89%). Oceania and North America each account for 4.26%, indicating a restricted research scope in these areas. Additionally, 62% of the studies employed multiple algorithms to enhance the reliability of the results. Moreover, most studies focused on construction costs rather than total project costs or total capital investment (project investment) and on residential and educational property types. The findings suggest that extensive testing and applications are necessary to gain a comprehensive understanding of global perspectives, particularly outside Asia, and in commercial properties such as retail and office buildings.</jats:p>",Faith Dowelani,2026,AHFE International; Artificial Intelligence and Social Computing,proceedings-article,,0,https://doi.org/10.54941/ahfe1007320,AHFE International,,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
10.63282/3050-9262.ijaidsml-v3i1p108,Role of Artificial Intelligence and Machine Learning in IoT Device Security,,,2022,"International Journal of Artificial Intelligence, Data Science, and Machine Learning",journal-article,,0,https://doi.org/10.63282/3050-9262.ijaidsml-v3i1p108,ScienceTech Xplore,,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
10.70593/978-81-981271-8-1,"Artificial Intelligence, Machine Learning, and Deep Learning for Sustainable Industry 5.0","<jats:p>This book offers an insight into the applications of Artificial Intelligence (AI)- Machine Learning Algorithms and Deep Learning (DL) in Bigdata Analytics to Industry 4.0/5.0 and Society 5.0 with transformative power responsibly. It has delved into how these technologies are disrupting industries, fostering innovation, and solving age-old social problems-so that readers have an understanding of where the digital world is headed. These chapters cover the big picture subjects of using AI with Big data analytics aimed mostly at increasing industrial efficiency, healthcare optimization, retail transformation, construction industry transformation, autonomous vehicles development and environmental sustainability improvement. The book covers each of these technologies extensively applied to full chapters devoted to detail studies, methodologies and practical usages. One of the central concepts in the book is how we evolve from industry 4.0 to industry 5.0. Therefore, Industry 4.0 relies on the automation and data exchange in manufacturing technologies using cyber-physical systems, the Internet of Things and cloud computing route to intelligent factories. During this phase, it improves operational efficiency, predictive maintenance and real-time monitoring which lowers down time and other operating costs by considerable amount.</jats:p>",Nitin Liladhar Rane; Ömer Kaya; Jayesh Rane,2024-10-14,"Artificial Intelligence, Machine Learning, and Deep Learning for Sustainable Industry 5.0",book-chapter,,1,https://doi.org/10.70593/978-81-981271-8-1,Deep Science Publishing,,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
10.63282/3050-9262.ijaidsml-v4i3p108,Security-Centric Artificial Intelligence: Strengthening Machine Learning Systems against Emerging Threats,,,2023,"International Journal of Artificial Intelligence, Data Science, and Machine Learning",journal-article,,0,https://doi.org/10.63282/3050-9262.ijaidsml-v4i3p108,ScienceTech Xplore,,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
10.1201/9781003473442-3,Data-Driven Techniques for Fault Diagnosis and Predictive Maintenance,,Aparna Sinha; Debanjan Das,2025-7-3,Applied Artificial Intelligence and Machine Learning Techniques for Engineering Applications,book-chapter,,0,https://doi.org/10.1201/9781003473442-3,CRC Press,en,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
10.1063/5.0265097,Predictive maintenance for manufacturing using machine learning,,G. Nagarajan; Revanthi,2025,AIP Conference Proceedings; INTERNATIONAL CONFERENCE ON COGNITIVE COMPUTING AND ARTIFICIAL INTELLIGENCE (ICCCAI - 2024),proceedings-article,,0,https://doi.org/10.1063/5.0265097,AIP Publishing,,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
10.1201/9781003125129-4,Artificial Intelligence and Machine Learning,,Puspalata Mahapatra; Sarita Kumari Singh,2021-9-16,Artificial Intelligence and Machine Learning in Business Management,book-chapter,,7,https://doi.org/10.1201/9781003125129-4,CRC Press,en,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
10.1109/aie61866.2024.10561383,Quantifying and Predicting Residential Building Flexibility Using Machine Learning Methods,,Patrick Salter; Qiuhua Huang; Paulo Cesar Tabares-Velasco,2024-5-20,2024 International Workshop on Artificial Intelligence and Machine Learning for Energy Transformation (AIE),proceedings-article,,4,https://doi.org/10.1109/aie61866.2024.10561383,IEEE,,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
10.33140/amlai.01.01.03,Artificial Intelligence and Advances,"<jats:p>This research abstract shares open source theme smart materials and technology for the Current and Future Global Challenges in relation with artificial intelligence which is the simulation of human intelligence processes by machines, especially computer systems. AI will also have a major impact on illegal/illicit /legal harmful drugs, chemicals, toxic herbs and others Control Intervention. the patent pending this scientific computing innovation; will include illegal/illicit/ legal harmful drugs, chemicals, toxic herbs and others Control security system and special purpose computer connected intelligent equipment’s, with sensors capable of taking thousands of measurements throughout the production process and generating billions of data points used to monitor, analyze and control the trafficking process. AI and machine learning are also contributing to the development of next-generation security system, accelerating the development of security intervention for conditions where there are no viable options today. Artificial intelligence promises both to improve existing goods and services, by enabling the automation of many tasks, to greatly increase the efficiency with which they are produced. But it may have an even larger impact on the economy by serving as a new general-purpose method of invention for unique or special tasks; Where Artificial intelligence (AI) clearly lead to better outcomes, already producing benefits and optimizing processes, increasingly sophisticated algorithms and machine learning techniques of data on a particular issue, generate insights, detections and resulting with more efficiency than teams of humans ever could.</jats:p>",,2020-10-3,Advances in Machine Learning &amp; Artificial Intelligence,journal-article,,1,https://doi.org/10.33140/amlai.01.01.03,Opast Group LLC,,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
10.1016/b978-0-443-13177-6.00012-6,"Machine learning and artificial intelligence-distributed renewable energy sources: technologies, perspectives, and challenges",,Xiaojun Yu; Yuekuan Zhou,2024,Advances in Digitalization and Machine Learning for Integrated Building-Transportation Energy Systems,book-chapter,,5,https://doi.org/10.1016/b978-0-443-13177-6.00012-6,Elsevier,en,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
10.1201/9781003480860-6,Role of Machine Learning and Deep Learning Models for Predictive Maintenance,,Gaurav Kumar Gautam; Nishant Pushpak Koshti; Kesha Miralbhai Desai; Nirav Bhatt; Nikita Bhatt; Hiren Mewada,2024-9-20,Data Analytics and Artificial Intelligence for Predictive Maintenance in Smart Manufacturing,book-chapter,,0,https://doi.org/10.1201/9781003480860-6,CRC Press,en,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
10.14738/tecs.122.16768,Criteria For Evaluating Environmental Sustainability Performance of Building Projects: A Review,,,2024-4-13,Transactions on Machine Learning and Artificial Intelligence,journal-article,,0,https://doi.org/10.14738/tecs.122.16768,Scholar Publishing,,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
10.21275/mr26605211903,Artificial Intelligence (AI) and Machine Learning (ML) Learning Applications,,Madhvan x,2026-6-10,International Journal of Science and Research (IJSR),journal-article,,0,https://doi.org/10.21275/mr26605211903,International Journal of Science and Research,,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
10.1515/9781683924654-003,Chapter 2: Introduction to Machine Learning,,,2020-2-13,"Artificial Intelligence, Machine Learning, and Deep Learning",book-chapter,,0,https://doi.org/10.1515/9781683924654-003,De Gruyter,,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
10.1016/j.engappai.2023.106715,Integrated failure analysis using machine learning predictive system for smart management of medical equipment maintenance,,Aizat Hilmi Zamzam; Khairunnisa Hasikin; Ahmad Khairi Abdul Wahab,2023-10,Engineering Applications of Artificial Intelligence,journal-article,,36,https://doi.org/10.1016/j.engappai.2023.106715,Elsevier BV,en,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
10.1515/9781683924654-004,Chapter 3: Classifiers in Machine Learning,,,2020-2-13,"Artificial Intelligence, Machine Learning, and Deep Learning",book-chapter,,0,https://doi.org/10.1515/9781683924654-004,De Gruyter,,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
