id_unico,criterio_agrupamento,n_registros_agrupados,bases_origem,strings_origem,titulos_originais,ids_brutos_agrupados
REG_00075,titulo_normalizado,3,Scopus,scopus_nucleo_a1_manutencao_sustentabilidade|scopus_nucleo_a3_priorizacao_estrategia_manutencao|scopus_nucleo_a4_gestao_ativos_ciclo_vida,Work order building informatics platform for planning residential building projects and maintenance work,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00074|SCOPUS::scopus_nucleo_a3_priorizacao_estrategia_manutencao_raw.csv::00363|SCOPUS::scopus_nucleo_a4_gestao_ativos_ciclo_vida_raw.csv::00638
REG_00076,doi_e_titulo,3,Scopus|WoS,scopus_nucleo_a1_manutencao_sustentabilidade|scopus_nucleo_a3_priorizacao_estrategia_manutencao|wos_nucleo_01,Optimized Building Component Assessment Planning Using a Value of Information Model,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00075|SCOPUS::scopus_nucleo_a3_priorizacao_estrategia_manutencao_raw.csv::00362|WOS::WOS_NUCLEO_01_20260708_part01.ris::00391
REG_00077,doi_e_titulo,3,Scopus|WoS,scopus_nucleo_a1_manutencao_sustentabilidade|scopus_nucleo_a4_gestao_ativos_ciclo_vida|wos_nucleo_01,Criticality analysis for preventive maintenance optimization purposes in gas network infrastructures,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00076|SCOPUS::scopus_nucleo_a4_gestao_ativos_ciclo_vida_raw.csv::00639|WOS::WOS_NUCLEO_01_20260708_part01.ris::00410
REG_00080,doi_e_titulo,2,Scopus|WoS,scopus_nucleo_a1_manutencao_sustentabilidade|wos_nucleo_01,A stochastic dynamic model of a dairy farm to evaluate the technical and economic performance under different scenarios,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00079|WOS::WOS_NUCLEO_01_20260708_part01.ris::00557
REG_00081,doi_e_titulo,2,Scopus|WoS,scopus_nucleo_a1_manutencao_sustentabilidade|wos_nucleo_01,Application of the analytic hierarchy process to sustainability of water supply and sanitation services: The case of Algeria || Application of the analytic hierarchy process to sustainability of water supply and sanitation services: the case of Algeria,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00080|WOS::WOS_NUCLEO_01_20260708_part01.ris::00090
REG_00083,doi_e_titulo,2,Scopus|WoS,scopus_nucleo_a1_manutencao_sustentabilidade|wos_nucleo_01,Material Life Cycle Costing of Buildings: a Case Study || Material life cycle costing of buildings: A case study,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00082|WOS::WOS_NUCLEO_01_20260708_part01.ris::00165
REG_00084,doi_e_titulo,2,Scopus,scopus_nucleo_a1_manutencao_sustentabilidade|scopus_nucleo_a4_gestao_ativos_ciclo_vida,A review on contemporary computational programs for Building's life-cycle energy consumption and greenhouse-gas emissions assessment: An empirical study in Australia,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00083|SCOPUS::scopus_nucleo_a4_gestao_ativos_ciclo_vida_raw.csv::00640
REG_00085,doi_e_titulo,4,Scopus|WoS,scopus_nucleo_a1_manutencao_sustentabilidade|scopus_nucleo_a2_contexto_publico_universitario|wos_nucleo_01|wos_nucleo_02,An Automated IoT Visualization BIM Platform for Decision Support in Facilities Management || An automated IoT visualization BIM platform for decision support in facilities management,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00084|SCOPUS::scopus_nucleo_a2_contexto_publico_universitario_raw.csv::00313|WOS::WOS_NUCLEO_01_20260708_part01.ris::00390|WOS::WOS_NUCLEO_02_20260708_part01.ris::00192
REG_00088,doi_e_titulo,4,Scopus|WoS,scopus_nucleo_a1_manutencao_sustentabilidade|scopus_nucleo_a4_gestao_ativos_ciclo_vida|wos_nucleo_01|wos_nucleo_04,Sustainable Design Parameters in Generation of Facilities Management Conceptual Model,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00087|SCOPUS::scopus_nucleo_a4_gestao_ativos_ciclo_vida_raw.csv::00641|WOS::WOS_NUCLEO_01_20260708_part01.ris::00314|WOS::WOS_NUCLEO_04_20260708_part01.ris::00290
REG_00100,doi_e_titulo,2,Scopus|WoS,scopus_nucleo_a1_manutencao_sustentabilidade|wos_nucleo_01,Short communication: Identifying challenges and opportunities for improved nutrient management through the USDA's Dairy Agroecosystem Working Group,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00099|WOS::WOS_NUCLEO_01_20260708_part01.ris::00592
REG_00105,doi_e_titulo,2,Scopus,scopus_nucleo_a1_manutencao_sustentabilidade|scopus_nucleo_a4_gestao_ativos_ciclo_vida,Lifecycle cost analysis for operations and maintenance planning of railway bridge transition,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00104|SCOPUS::scopus_nucleo_a4_gestao_ativos_ciclo_vida_raw.csv::00642
REG_00110,doi_e_titulo,2,Scopus|WoS,scopus_nucleo_a1_manutencao_sustentabilidade|wos_nucleo_01,Optimal FM Strategy for Commercial Office Buildings Using Fuzzy Synthetic Evaluation,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00109|WOS::WOS_NUCLEO_01_20260708_part01.ris::00276
REG_00118,doi_e_titulo,2,Scopus|WoS,scopus_nucleo_a1_manutencao_sustentabilidade|wos_nucleo_04,Life cycle energy of high-rise office buildings in Hong Kong,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00117|WOS::WOS_NUCLEO_04_20260708_part01.ris::00098
REG_00123,doi_e_titulo,3,Scopus|WoS,scopus_nucleo_a1_manutencao_sustentabilidade|scopus_nucleo_a4_gestao_ativos_ciclo_vida|wos_nucleo_04,Toward improved LCC-informed decisions in building management,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00122|SCOPUS::scopus_nucleo_a4_gestao_ativos_ciclo_vida_raw.csv::00643|WOS::WOS_NUCLEO_04_20260708_part01.ris::00027
REG_00124,doi_e_titulo,3,Scopus|WoS,scopus_nucleo_a1_manutencao_sustentabilidade|scopus_nucleo_a4_gestao_ativos_ciclo_vida|wos_nucleo_04,"Building-information-modeling enabled life cycle assessment, a case study on carbon footprint accounting for a residential building in China",SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00123|SCOPUS::scopus_nucleo_a4_gestao_ativos_ciclo_vida_raw.csv::00644|WOS::WOS_NUCLEO_04_20260708_part01.ris::00184
REG_00125,doi_e_titulo,4,Scopus|WoS,scopus_nucleo_a1_manutencao_sustentabilidade|scopus_nucleo_a2_contexto_publico_universitario|wos_nucleo_01|wos_nucleo_02,On the nexus of changing public facilities management practices: purposive and co-creative actions across multiple levels,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00124|SCOPUS::scopus_nucleo_a2_contexto_publico_universitario_raw.csv::00314|WOS::WOS_NUCLEO_01_20260708_part01.ris::00337|WOS::WOS_NUCLEO_02_20260708_part01.ris::00135
REG_00126,doi_e_titulo,3,Scopus|WoS,scopus_nucleo_a1_manutencao_sustentabilidade|scopus_nucleo_a4_gestao_ativos_ciclo_vida|wos_nucleo_04,Impact of Human Actions on Building Energy Performance: A Case Study in the United Arab Emirates (UAE) || Impact of human actions on building energy performance: A case study in the United Arab Emirates (UAE),SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00125|SCOPUS::scopus_nucleo_a4_gestao_ativos_ciclo_vida_raw.csv::00645|WOS::WOS_NUCLEO_04_20260708_part01.ris::00447
REG_00130,doi_e_titulo,2,Scopus|WoS,scopus_nucleo_a1_manutencao_sustentabilidade|wos_nucleo_01,BIM-based Data Mining Method considering Data Integration and Function Extension,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00129|WOS::WOS_NUCLEO_01_20260708_part01.ris::00307
REG_00148,doi_e_titulo,2,Scopus|WoS,scopus_nucleo_a1_manutencao_sustentabilidade|wos_nucleo_01,Modeling on environmental-economic effectiveness of Vacutug technology of fecal sludge management at Dhaka city in Bangladesh,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00147|WOS::WOS_NUCLEO_01_20260708_part01.ris::00474
REG_00156,doi_e_titulo,4,Scopus|WoS,scopus_nucleo_a1_manutencao_sustentabilidade|scopus_nucleo_a4_gestao_ativos_ciclo_vida|wos_nucleo_01|wos_nucleo_04,ASTA - A method for multi-criteria evaluation of water supply technologies to Assess the most SusTainable Alternative for Copenhagen || ASTA — A method for multi-criteria evaluation of water supply technologies to Assess the most SusTainable Alternative for Copenhagen,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00155|SCOPUS::scopus_nucleo_a4_gestao_ativos_ciclo_vida_raw.csv::00646|WOS::WOS_NUCLEO_01_20260708_part01.ris::00064|WOS::WOS_NUCLEO_04_20260708_part01.ris::00256
REG_00157,doi_e_titulo,3,Scopus|WoS,scopus_nucleo_a1_manutencao_sustentabilidade|scopus_nucleo_a2_contexto_publico_universitario|wos_nucleo_02,Design of Optimum Configuration of a Hybrid Power System for Abertay University Campus || Design of optimum configuration of a hybrid power system for Abertay University campus,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00156|SCOPUS::scopus_nucleo_a2_contexto_publico_universitario_raw.csv::00315|WOS::WOS_NUCLEO_02_20260708_part01.ris::00179
REG_00158,doi_e_titulo,2,Scopus|WoS,scopus_nucleo_a1_manutencao_sustentabilidade|wos_nucleo_01,Merging building maintainability and sustainability assessment: A multicriteria decision making approach,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00157|WOS::WOS_NUCLEO_01_20260708_part01.ris::00057
REG_00160,titulo_normalizado,2,Scopus,scopus_nucleo_a1_manutencao_sustentabilidade|scopus_nucleo_a4_gestao_ativos_ciclo_vida,Building a bridge to sustainability,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00159|SCOPUS::scopus_nucleo_a4_gestao_ativos_ciclo_vida_raw.csv::00647
REG_00162,doi_e_titulo,3,Scopus|WoS,scopus_nucleo_a1_manutencao_sustentabilidade|wos_nucleo_01|wos_nucleo_04,Sustainable Performance Index for Assessing the Green Technologies in Urban Infrastructure Projects,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00161|WOS::WOS_NUCLEO_01_20260708_part01.ris::00140|WOS::WOS_NUCLEO_04_20260708_part01.ris::00364
REG_00167,doi_e_titulo,2,Scopus,scopus_nucleo_a1_manutencao_sustentabilidade,Energy Quality Management,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00166|SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00329
REG_00169,doi_e_titulo,5,Scopus|WoS,scopus_nucleo_a1_manutencao_sustentabilidade|scopus_nucleo_a2_contexto_publico_universitario|scopus_nucleo_a4_gestao_ativos_ciclo_vida|wos_nucleo_02|wos_nucleo_04,Life cycle assessment and life cycle cost of university dormitories in the southeast China: Case study of the university town of Fuzhou,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00168|SCOPUS::scopus_nucleo_a2_contexto_publico_universitario_raw.csv::00316|SCOPUS::scopus_nucleo_a4_gestao_ativos_ciclo_vida_raw.csv::00648|WOS::WOS_NUCLEO_02_20260708_part01.ris::00279|WOS::WOS_NUCLEO_04_20260708_part01.ris::00029
REG_00173,doi_e_titulo,3,Scopus|WoS,scopus_nucleo_a1_manutencao_sustentabilidade|scopus_nucleo_a4_gestao_ativos_ciclo_vida|wos_nucleo_04,Increasing energy efficiency by considering building's life cycle,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00172|SCOPUS::scopus_nucleo_a4_gestao_ativos_ciclo_vida_raw.csv::00649|WOS::WOS_NUCLEO_04_20260708_part01.ris::00062
REG_00175,doi_e_titulo,3,Scopus|WoS,scopus_nucleo_a1_manutencao_sustentabilidade|scopus_nucleo_a4_gestao_ativos_ciclo_vida|wos_nucleo_04,A tool for assessing life cycle CO2 emissions of buildings in Sri Lanka,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00174|SCOPUS::scopus_nucleo_a4_gestao_ativos_ciclo_vida_raw.csv::00650|WOS::WOS_NUCLEO_04_20260708_part01.ris::00100
REG_00180,doi_e_titulo,2,Scopus|WoS,scopus_nucleo_a1_manutencao_sustentabilidade|wos_nucleo_01,A life cycle costing approach for discounting in age and interval replacement optimisation models for civil infrastructure assets,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00179|WOS::WOS_NUCLEO_01_20260708_part01.ris::00230
REG_00185,doi_e_titulo,3,Scopus|WoS,scopus_nucleo_a1_manutencao_sustentabilidade|scopus_nucleo_a4_gestao_ativos_ciclo_vida|wos_nucleo_04,Improving Sustainable Construction Practices Through Facility Management,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00184|SCOPUS::scopus_nucleo_a4_gestao_ativos_ciclo_vida_raw.csv::00652|WOS::WOS_NUCLEO_04_20260708_part01.ris::00037
REG_00186,doi_e_titulo,3,Crossref|Scopus,crossref_nucleo_a2|scopus_nucleo_a1_manutencao_sustentabilidade|scopus_nucleo_a4_gestao_ativos_ciclo_vida,Sustainability,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00185|SCOPUS::scopus_nucleo_a4_gestao_ativos_ciclo_vida_raw.csv::00655|CROSSREF::crossref_nucleo_a2_raw.csv::00011
REG_00206,doi_e_titulo,4,Scopus|WoS,scopus_nucleo_a1_manutencao_sustentabilidade|scopus_nucleo_a2_contexto_publico_universitario|wos_nucleo_01|wos_nucleo_02,Integrating Building Information Models and Building Operation Information Exchange Systems in a Decision Support Framework for Facilities Management || Integrating building information models and building operation information exchange systems in a decision support framework for facilities management,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00205|SCOPUS::scopus_nucleo_a2_contexto_publico_universitario_raw.csv::00317|WOS::WOS_NUCLEO_01_20260708_part01.ris::00073|WOS::WOS_NUCLEO_02_20260708_part01.ris::00170
REG_00209,doi_e_titulo,2,Scopus,scopus_nucleo_a1_manutencao_sustentabilidade|scopus_nucleo_a3_priorizacao_estrategia_manutencao,Towards Digitalization of Building Operations with BIM,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00208|SCOPUS::scopus_nucleo_a3_priorizacao_estrategia_manutencao_raw.csv::00370
REG_00210,doi_e_titulo,3,Scopus|WoS,scopus_nucleo_a1_manutencao_sustentabilidade|scopus_nucleo_a2_contexto_publico_universitario|wos_nucleo_02,Are Facility Maintenance and Operations Enabling Performance: A Study of K-12 Public Schools || Are facility maintenance and operations enabling performance: A study of K-12 public schools,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00209|SCOPUS::scopus_nucleo_a2_contexto_publico_universitario_raw.csv::00322|WOS::WOS_NUCLEO_02_20260708_part01.ris::00066
REG_00211,doi_e_titulo,2,Scopus,scopus_nucleo_a1_manutencao_sustentabilidade|scopus_nucleo_a4_gestao_ativos_ciclo_vida,Barriers and drivers of whole life cycle costing of sustainable facility management for PPP/PFI projects in Malaysia,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00210|SCOPUS::scopus_nucleo_a4_gestao_ativos_ciclo_vida_raw.csv::00651
REG_00213,doi_e_titulo,2,Scopus,scopus_nucleo_a1_manutencao_sustentabilidade|scopus_nucleo_a4_gestao_ativos_ciclo_vida,Building Information Model for Existing Buildings for Facilities Management: RetroBIM Framework,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00212|SCOPUS::scopus_nucleo_a4_gestao_ativos_ciclo_vida_raw.csv::00653
REG_00215,doi_e_titulo,2,Scopus,scopus_nucleo_a1_manutencao_sustentabilidade|scopus_nucleo_a2_contexto_publico_universitario,Development of a maintenance and repair cost estimation model for educational buildings using regression analysis,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00214|SCOPUS::scopus_nucleo_a2_contexto_publico_universitario_raw.csv::00319
REG_00217,doi_e_titulo,2,Scopus|WoS,scopus_nucleo_a1_manutencao_sustentabilidade|wos_nucleo_01,Enabling an effective knowledge and information flow between the phases of building construction and facilities management,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00216|WOS::WOS_NUCLEO_01_20260708_part01.ris::00191
REG_00222,doi_e_titulo,3,Scopus|WoS,scopus_nucleo_a1_manutencao_sustentabilidade|scopus_nucleo_a4_gestao_ativos_ciclo_vida|wos_nucleo_04,The need for economic performance measures for life cycle costing of sustainable commercial office buildings,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00221|SCOPUS::scopus_nucleo_a4_gestao_ativos_ciclo_vida_raw.csv::00654|WOS::WOS_NUCLEO_04_20260708_part01.ris::00151
REG_00225,doi_e_titulo,2,Crossref|Scopus,crossref_nucleo_a2|scopus_nucleo_a1_manutencao_sustentabilidade,Building Information Modeling || Building information modeling,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00224|CROSSREF::crossref_nucleo_a2_raw.csv::00015
REG_00226,doi_e_titulo,3,Scopus,scopus_nucleo_a1_manutencao_sustentabilidade|scopus_nucleo_a3_priorizacao_estrategia_manutencao|scopus_nucleo_a4_gestao_ativos_ciclo_vida,Key strategies to overcome cost overruns issues in building maintenance management,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00225|SCOPUS::scopus_nucleo_a3_priorizacao_estrategia_manutencao_raw.csv::00373|SCOPUS::scopus_nucleo_a4_gestao_ativos_ciclo_vida_raw.csv::00656
REG_00228,doi_e_titulo,2,Scopus|WoS,scopus_nucleo_a1_manutencao_sustentabilidade|wos_nucleo_01,Advanced Techniques for Assets Maintenance Management,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00227|WOS::WOS_NUCLEO_01_20260708_part01.ris::00219
REG_00232,doi_e_titulo,4,Scopus|WoS,scopus_nucleo_a1_manutencao_sustentabilidade|scopus_nucleo_a4_gestao_ativos_ciclo_vida|wos_nucleo_01|wos_nucleo_04,Semantic BMS: Allowing usage of building automation data in facility benchmarking,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00231|SCOPUS::scopus_nucleo_a4_gestao_ativos_ciclo_vida_raw.csv::00676|WOS::WOS_NUCLEO_01_20260708_part01.ris::00338|WOS::WOS_NUCLEO_04_20260708_part01.ris::00301
